Bill of Materials,,,,,,,,,,,,,,,,
Part Name/Description,Unit Quantity,Unit Prototype Cost,Total Prototype Cost,Unit Production Cost,Total Production Cost,Manufacturer,Manufacturer Part #,Vendor Link,Datasheet Link,Supplier,Supplier Part #,# Ordered,Date Ordered,# Received,Surplus,Schematic Reference Designators
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
,,,$0.00,,$0.00,,,,,,,,,,0,
